2015-10-03 15:50:04,747 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/main/resources
2015-10-03 15:50:04,749 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 15:50:04,750 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/test/resources
2015-10-03 15:55:58,191 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 15:55:58,191 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/main/resources
2015-10-03 15:55:58,192 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 15:55:58,192 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/test/resources
2015-10-03 15:55:59,300 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 15:55:59,300 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/main/resources
2015-10-03 15:55:59,302 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 15:55:59,302 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/test/resources
2015-10-03 15:57:22,777 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 15:57:22,777 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/main/resources
2015-10-03 15:57:22,779 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 15:57:22,779 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/test/resources
2015-10-03 15:57:30,783 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 15:57:30,783 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/main/resources
2015-10-03 15:57:30,784 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 15:57:30,785 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/test/resources
2015-10-03 15:58:11,038 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 15:58:11,039 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/main/resources
2015-10-03 15:58:11,040 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 15:58:11,040 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/test/resources
2015-10-03 15:58:42,871 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 15:58:42,871 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/main/resources
2015-10-03 15:58:42,872 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 15:58:42,873 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/test/resources
2015-10-03 16:00:15,095 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 16:00:15,095 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/main/resources
2015-10-03 16:00:15,096 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 16:00:15,096 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/test/resources
2015-10-03 16:00:16,149 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 16:00:16,149 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/main/resources
2015-10-03 16:00:16,150 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 16:00:16,151 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/test/resources
2015-10-03 16:02:40,336 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 16:02:40,336 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/main/resources
2015-10-03 16:02:40,337 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 16:02:40,338 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/test/resources
2015-10-03 16:02:41,405 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 16:02:41,405 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/main/resources
2015-10-03 16:02:41,407 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 16:02:41,408 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/test/resources
